datetime,portfolio_value,cash,positions,return
2022-06-21 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-22 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-23 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-24 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-25 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-25 09:29:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-27 08:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-27 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-27 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-28 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-29 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-06-30 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-01 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-02 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-02 09:29:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-05 08:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-05 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-05 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-06 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-07 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-08 09:30:00-04:00,112255.94037353515,112255.94037353515,"[{'asset': USD, 'quantity': 112255.94037353515}]",0.0
2022-07-09 09:30:00-04:00,112255.94037353515,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-09 09:29:00-04:00,112255.94037353515,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-11 08:30:00-04:00,111731.04108154296,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.004675915503852823
2022-07-11 09:30:00-04:00,111731.04108154296,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-11 09:30:00-04:00,111731.04108154296,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-12 09:30:00-04:00,110491.2928515625,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.011095826352102822
2022-07-13 09:30:00-04:00,110275.23984252929,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.0019553849308601157
2022-07-14 09:30:00-04:00,111571.5401965332,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.011755135204013056
2022-07-15 09:30:00-04:00,111571.5401965332,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-16 09:30:00-04:00,111571.5401965332,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-16 09:29:00-04:00,111571.5401965332,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-18 08:30:00-04:00,112083.39001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0045876378698046505
2022-07-18 09:30:00-04:00,112083.39001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-18 09:30:00-04:00,112083.39001953125,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-07-19 09:30:00-04:00,113009.94214355468,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.008266631869913832
2022-07-20 09:30:00-04:00,113254.99249755859,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.002168396420313412
2022-07-21 09:30:00-04:00,113945.19391357421,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.006094225082664773
2022-07-22 09:30:00-04:00,113945.19391357421,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
