https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BUSD,tradecount
1696550400000,2023-10-06,1INCHBUSD,0.2513,0.2532,0.2511,0.2519,12819.4,3234.23524,45
1696464000000,2023-10-05,1INCHBUSD,0.2556,0.257,0.2495,0.2501,131649.8,33272.96502,378
1696377600000,2023-10-04,1INCHBUSD,0.256,0.2576,0.2483,0.256,194466.8,49498.46774,574
1696291200000,2023-10-03,1INCHBUSD,0.269,0.2717,0.258,0.259,75406.5,19932.05344,231
1696204800000,2023-10-02,1INCHBUSD,0.2756,0.2812,0.2624,0.2679,141003.3,38721.21481,406
1696118400000,2023-10-01,1INCHBUSD,0.2699,0.279,0.2673,0.2763,138337.2,37758.03773,322
1696032000000,2023-09-30,1INCHBUSD,0.2671,0.2709,0.2647,0.2699,88578.6,23722.97371,237
1695945600000,2023-09-29,1INCHBUSD,0.269,0.2695,0.2603,0.2666,72541.4,19248.43749,249
1695859200000,2023-09-28,1INCHBUSD,0.2622,0.2695,0.2603,0.2695,121443.2,32226.91284,336
1695772800000,2023-09-27,1INCHBUSD,0.2672,0.2715,0.2555,0.2613,317156.6,82915.82492,524
1695686400000,2023-09-26,1INCHBUSD,0.2638,0.2699,0.2615,0.2664,61541.7,16293.74016,240
1695600000000,2023-09-25,1INCHBUSD,0.2548,0.2648,0.2518,0.2647,104652.6,27245.80659,305
1695513600000,2023-09-24,1INCHBUSD,0.2632,0.2632,0.2539,0.2548,98225.6,25434.45815,218
1695427200000,2023-09-23,1INCHBUSD,0.2627,0.2684,0.2574,0.2624,123176.4,32188.11856,268
1695340800000,2023-09-22,1INCHBUSD,0.2582,0.2635,0.2543,0.2622,293731.4,76312.42979,480
1695254400000,2023-09-21,1INCHBUSD,0.2518,0.281,0.2518,0.2586,1402393.2,375730.46879,3496
1695168000000,2023-09-20,1INCHBUSD,0.2516,0.2529,0.2479,0.2514,90577.1,22675.27796,294
