symbol,unix_open,unix_close,date_open,date_close,open,high,low,close,volume,dollar_volume,tick_size
ETHUSDT,1683674059411,1683675917390,2023-05-09 23:14:19.411000,2023-05-09 23:45:17.390000,1845.87,1847.42,1844.68,1847.41,1911.3918,3527813.14,4500
ETHUSDT,1683672313825,1683674059256,2023-05-09 22:45:13.825000,2023-05-09 23:14:19.256000,1844.0,1846.77,1842.43,1845.87,2745.7593,5063919.77,4500
ETHUSDT,1683670633001,1683672313758,2023-05-09 22:17:13.001000,2023-05-09 22:45:13.758000,1842.36,1844.07,1841.61,1844.0,3086.3058,5687450.26,4500
ETHUSDT,1683669701135,1683670632691,2023-05-09 22:01:41.135000,2023-05-09 22:17:12.691000,1841.64,1843.96,1841.33,1842.36,2755.317,5076673.68,4500
ETHUSDT,1683668919330,1683669701135,2023-05-09 21:48:39.330000,2023-05-09 22:01:41.135000,1848.0,1848.25,1841.65,1841.66,2318.6788,4276192.23,4500
ETHUSDT,1683667644861,1683668919330,2023-05-09 21:27:24.861000,2023-05-09 21:48:39.330000,1845.81,1848.88,1844.97,1848.0,2080.3775,3842736.66,4500
ETHUSDT,1683666180006,1683667644061,2023-05-09 21:03:00.006000,2023-05-09 21:27:24.061000,1847.6,1848.66,1844.72,1845.8,2364.3474,4365533.74,4500
ETHUSDT,1683665132629,1683666180005,2023-05-09 20:45:32.629000,2023-05-09 21:03:00.005000,1846.2,1849.52,1846.2,1847.59,1839.8638,3399698.93,4500
ETHUSDT,1683664470679,1683665132266,2023-05-09 20:34:30.679000,2023-05-09 20:45:32.266000,1849.72,1851.36,1845.0,1846.19,2952.7836,5456205.47,4500
ETHUSDT,1683663438382,1683664470679,2023-05-09 20:17:18.382000,2023-05-09 20:34:30.679000,1851.58,1852.35,1849.21,1849.72,1837.8795,3401121.32,4500
ETHUSDT,1683662811310,1683663438382,2023-05-09 20:06:51.310000,2023-05-09 20:17:18.382000,1852.31,1853.52,1850.81,1851.59,2612.153,4838148.64,4500
ETHUSDT,1683662499530,1683662811310,2023-05-09 20:01:39.530000,2023-05-09 20:06:51.310000,1860.12,1861.88,1852.11,1852.31,3052.7719,5673714.12,4500
ETHUSDT,1683662400582,1683662499527,2023-05-09 20:00:00.582000,2023-05-09 20:01:39.527000,1852.76,1861.35,1852.76,1860.2,3146.5411,5843384.27,4500
ETHUSDT,1683661619098,1683662400582,2023-05-09 19:46:59.098000,2023-05-09 20:00:00.582000,1848.09,1852.96,1846.92,1852.73,2741.3198,5070698.25,4500
ETHUSDT,1683660600004,1683661619098,2023-05-09 19:30:00.004000,2023-05-09 19:46:59.098000,1848.85,1849.52,1845.91,1848.09,2980.4417,5507471.84,4500
ETHUSDT,1683659734657,1683660600004,2023-05-09 19:15:34.657000,2023-05-09 19:30:00.004000,1843.76,1849.35,1843.76,1848.85,3483.6798,6434473.94,4500
ETHUSDT,1683658838968,1683659734618,2023-05-09 19:00:38.968000,2023-05-09 19:15:34.618000,1845.0,1846.6,1842.74,1843.75,2940.7245,5426107.96,4500
ETHUSDT,1683658417160,1683658838968,2023-05-09 18:53:37.160000,2023-05-09 19:00:38.968000,1844.41,1845.0,1839.55,1845.0,2863.3511,5274164.84,4500
ETHUSDT,1683657263569,1683658417160,2023-05-09 18:34:23.569000,2023-05-09 18:53:37.160000,1847.78,1849.8,1844.41,1844.42,2011.8786,3718534.29,4500
ETHUSDT,1683656174795,1683657262670,2023-05-09 18:16:14.795000,2023-05-09 18:34:22.670000,1846.31,1849.3,1846.05,1847.77,2217.0007,4095668.66,4500
ETHUSDT,1683655238072,1683656174769,2023-05-09 18:00:38.072000,2023-05-09 18:16:14.769000,1846.64,1849.21,1844.08,1846.36,2933.3076,5417706.59,4500
ETHUSDT,1683654359992,1683655238050,2023-05-09 17:45:59.992000,2023-05-09 18:00:38.050000,1848.1,1848.77,1843.96,1846.6,2271.9599,4195480.08,4500
ETHUSDT,1683653268746,1683654359992,2023-05-09 17:27:48.746000,2023-05-09 17:45:59.992000,1849.13,1851.49,1848.05,1848.09,1950.7733,3608027.22,4500
ETHUSDT,1683652399195,1683653268202,2023-05-09 17:13:19.195000,2023-05-09 17:27:48.202000,1848.27,1851.82,1847.93,1849.14,2514.5684,4652713.91,4500
ETHUSDT,1683651949384,1683652399195,2023-05-09 17:05:49.384000,2023-05-09 17:13:19.195000,1849.21,1852.56,1846.97,1848.27,2507.8417,4638794.36,4500
ETHUSDT,1683651649048,1683651948764,2023-05-09 17:00:49.048000,2023-05-09 17:05:48.764000,1855.07,1857.01,1848.81,1849.21,3362.0112,6229877.84,4500
ETHUSDT,1683651564502,1683651649048,2023-05-09 16:59:24.502000,2023-05-09 17:00:49.048000,1849.66,1858.0,1849.66,1855.08,3703.8878,6872003.51,4500
ETHUSDT,1683651373151,1683651564502,2023-05-09 16:56:13.151000,2023-05-09 16:59:24.502000,1849.45,1851.0,1847.47,1849.62,5587.7358,10336010.46,4500
ETHUSDT,1683650847185,1683651373151,2023-05-09 16:47:27.185000,2023-05-09 16:56:13.151000,1845.0,1849.44,1843.6,1849.44,3313.538,6116518.37,4500
ETHUSDT,1683650073112,1683650847185,2023-05-09 16:34:33.112000,2023-05-09 16:47:27.185000,1842.0,1845.0,1840.17,1845.0,3514.2409,6475393,4500
ETHUSDT,1683649275668,1683650073112,2023-05-09 16:21:15.668000,2023-05-09 16:34:33.112000,1840.67,1842.0,1837.88,1841.99,2098.2029,3860560,4500
ETHUSDT,1683648642248,1683649275668,2023-05-09 16:10:42.248000,2023-05-09 16:21:15.668000,1838.5,1844.27,1837.75,1840.7,3372.4692,6209896.57,4500
ETHUSDT,1683648045012,1683648642248,2023-05-09 16:00:45.012000,2023-05-09 16:10:42.248000,1838.83,1841.0,1836.0,1838.58,2613.7941,4804934.83,4500
ETHUSDT,1683647679733,1683648044919,2023-05-09 15:54:39.733000,2023-05-09 16:00:44.919000,1840.39,1841.8,1837.74,1838.9,3606.9471,6635377.49,4500
